Date,Client name,Order Quantity,Material
12/23/2019,c1,103,12379621
12/23/2019,c1,61,12379615
12/23/2019,c1,150,9602324
12/23/2019,c1,300,9602315
12/23/2019,c1,150,9602323
12/23/2019,c1,144,9602322
12/23/2019,c1,144,9602321
12/23/2019,c1,288,12095362
12/23/2019,c1,150,12159741
12/23/2019,c1,150,12409209
12/23/2019,c1,150,12406182
12/23/2019,c1,120,12259403
12/23/2019,c1,180,12263383
12/23/2019,c1,18,12322625
12/23/2019,c1,140,12322593
12/23/2019,c1,140,12322595
12/23/2019,c1,16,12322458
12/23/2019,c1,16,12322581
12/23/2019,c1,9,12366578
12/23/2019,c1,14,12366466
12/23/2019,c1,16,12366642
12/23/2019,c1,1,12366467
12/23/2019,c1,7,12366579
12/23/2019,c1,25,12409211
12/23/2019,c1,9,12375991
12/23/2019,c1,25,12406394
12/23/2019,c1,60,12321929
12/23/2019,c1,80,12293787
12/23/2019,c1,116,12159416
12/23/2019,c1,120,12321920
12/27/2019,c1,84,12395526
12/27/2019,c1,64,415841
12/27/2019,c1,180,12394959
12/27/2019,c1,180,12398311
12/27/2019,c1,378,12395525
12/27/2019,c1,70,12394956
12/27/2019,c1,60,12280926
12/27/2019,c1,15,11001249
12/27/2019,c1,1,12078564
12/27/2019,c1,24,12383091
12/27/2019,c1,16,12322798
12/27/2019,c1,32,12321939
12/27/2019,c1,24,12232429
12/27/2019,c1,24,12232460
12/27/2019,c1,48,12204860
12/27/2019,c1,216,12293783
12/27/2019,c1,108,12293891
12/27/2019,c1,112,12293777
12/27/2019,c1,60,12293768
12/27/2019,c1,80,12293771
12/27/2019,c1,80,12293764
